Survived,Pclass,Age,SibSp,Parch,Fare,Cabin,Age_na,Fare_na,Sex_female,Sex_male,Embarked_C,Embarked_Missing,Embarked_Q,Embarked_S
0,1.0,0.287880785968614,0.125,0.0,0.16263918113927697,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.0,0.4988790716075432,0.125,0.0,0.6121314214122676,1.0657894736842104,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1.0,0.34063035737834635,0.0,0.0,0.18014579674700062,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0.0,0.459316893050244,0.125,0.0,0.5542187158636468,0.7236842105263157,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.459316893050244,0.0,0.0,0.18322344130066578,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.3894120749974789,0.0,0.0,0.1929532893341104,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0.0,0.7098773572464724,0.0,0.0,0.549581347276252,1.6973684210526314,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.024132928919952525,0.375,0.1111111111111111,0.3724896245725039,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1.0,0.3538177502307794,0.0,0.2222222222222222,0.24699327026614107,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0.5,0.18238164314914942,0.125,0.0,0.4423948857756368,1.9210526315789473,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1.0,0.05050771462481868,0.125,0.1111111111111111,0.32673160273075785,1.907894736842105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0.0,0.7626269286562047,0.0,0.0,0.41790614271476545,0.6447368421052632,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.2615060002637479,0.0,0.0,0.18322344130066578,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.5120664644599763,0.125,0.5555555555555556,0.45011653430918863,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.18238164314914942,0.0,0.0,0.17838101240466644,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0.5,0.7230647500989055,0.0,0.0,0.31831073027836243,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.024132928919952525,0.5,0.1111111111111111,0.43611016733579877,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,0.5,0.3894120749974789,0.0,0.0,0.2774768974449705,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.4065673216405117,0.125,0.0,0.34147364446729134,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,1.0,0.3894120749974789,0.0,0.0,0.16195988003795933,1.9210526315789473,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,0.5,0.459316893050244,0.0,0.0,0.41378947059385185,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.5,0.44612950019781095,0.0,0.0,0.2774768974449705,1.4605263157894737,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1.0,0.19556903600158249,0.0,0.0,0.18271465010133395,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,0.0,0.36700514308321247,0.0,0.0,0.47503571860856,0.17105263157894735,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.10325728603455098,0.375,0.1111111111111111,0.3724896245725039,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,1.0,0.4988790716075432,0.125,0.5555555555555556,0.45082266603121035,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.3894120749974789,0.0,0.0,0.16195988003795933,1.9210526315789473,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,0.0,0.24831860741131478,0.375,0.2222222222222222,0.8688661704486751,0.8289473684210525,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1.0,0.3894120749974789,0.0,0.0,0.17900598106624913,1.9210526315789473,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1.0,0.3894120749974789,0.0,0.0,0.17941986572699406,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.0,0.5252538573124094,0.0,0.0,0.4263925589522145,1.9210526315789473,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,0.0,0.3894120749974789,0.125,0.0,0.7538241770418358,0.5394736842105263,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1.0,0.3894120749974789,0.0,0.0,0.17575453833860336,1.9210526315789473,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0.5,0.8681260714756693,0.0,0.0,0.23547595451959144,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.0,0.36700514308321247,0.125,0.0,0.6400839074714243,1.9210526315789473,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,0.0,0.5516286430172755,0.125,0.0,0.5501020437427332,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1.0,0.3894120749974789,0.0,0.0,0.16207416673816763,1.9210526315789473,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,1.0,0.27469339311618096,0.0,0.0,0.18322344130066578,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.23513121455888172,0.25,0.0,0.34147364446729134,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,1.0,0.18238164314914942,0.125,0.0,0.24889877523954548,1.9210526315789473,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,1.0,0.5252538573124094,0.125,0.0,0.2152755926308841,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.5,0.3538177502307794,0.125,0.0,0.3717885276684728,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.3894120749974789,0.0,0.0,0.17941986572699406,1.9210526315789473,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,0.5,0.0373203217723856,0.125,0.2222222222222222,0.5061208434326919,1.9210526315789473,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1.0,0.24831860741131478,0.0,0.0,0.17900598106624913,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1.0,0.3894120749974789,0.0,0.0,0.18322344130066578,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.3894120749974789,0.125,0.0,0.31206711148748467,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,1.0,0.3894120749974789,0.0,0.0,0.17575453833860336,1.9210526315789473,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1.0,0.3894120749974789,0.25,0.0,0.3780482998026534,1.9210526315789473,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,1.0,0.23513121455888172,0.125,0.0,0.33927633140332425,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.0900698931821179,0.5,0.1111111111111111,0.4969637309481857,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.27469339311618096,0.0,0.0,0.17701922098198083,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.0,0.643940392984307,0.125,0.0,0.6266093960374092,1.3289473684210527,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,0.5,0.38019253593564556,0.125,0.0,0.41378947059385185,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.8549386786232362,0.0,0.1111111111111111,0.5846262713055336,0.3026315789473684,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,0.0,0.3894120749974789,0.0,0.0,0.47503571860856,0.9342105263157894,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.5,0.27469339311618096,0.0,0.0,0.23547595451959144,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.373598839509429,0.0,0.0,0.16207416673816763,1.9210526315789473,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,0.5,0.06369510747725175,0.125,0.2222222222222222,0.42659960117084317,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.1428194645918502,0.625,0.2222222222222222,0.5298018709229422,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.287880785968614,0.0,0.0,0.16207416673816763,1.9210526315789473,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,0.0,0.4988790716075432,0.0,0.0,0.6348187235591385,0.2763157894736842,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.5911908215745747,0.125,0.0,0.6431807077124586,1.0526315789473684,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.05050771462481868,0.375,0.2222222222222222,0.42765975184228133,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.0,0.3894120749974789,0.0,0.0,0.4263925589522145,1.9210526315789473,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,1.0,0.3894120749974789,0.125,0.1111111111111111,0.3088151896762753,1.9210526315789473,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,0.5,0.38019253593564556,0.0,0.0,0.23547595451959144,1.8684210526315788,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.24831860741131478,0.0,0.0,0.18585151720283585,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1.0,0.22194382170644866,0.5,0.2222222222222222,0.18014579674700062,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.34063035737834635,0.25,0.0,0.19764458417900724,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.5,0.41975471449294477,0.0,0.0,0.23547595451959144,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.20875642885401557,0.625,0.2222222222222222,0.5298018709229422,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.5,0.27469339311618096,0.0,0.0,0.6181537276874405,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.34063035737834635,0.125,0.0,0.29832960483910165,1.9210526315789473,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,1.0,0.41975471449294477,0.0,0.0,0.5664093889076323,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.32744296452591326,0.0,0.0,0.17320050928114236,1.8421052631578947,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.3894120749974789,0.0,0.0,0.17941986572699406,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.3894120749974789,0.0,0.0,0.18322344130066578,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.5,0.008703679282605828,0.0,0.2222222222222222,0.4352643274370396,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1.0,0.3933799287880786,0.0,0.0,0.26937014230876855,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.287880785968614,0.0,0.0,0.20516107131841013,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1.0,0.38019253593564556,0.0,0.0,0.21579379444138017,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1.0,0.3894120749974789,0.0,0.0,0.17670381197564813,1.9210526315789473,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0.0,0.36700514308321247,0.0,0.0,0.5306387124976034,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.5,0.22194382170644866,0.0,0.0,0.23547595451959144,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,1.0,0.43294210734537786,0.375,0.0,0.31645836989588183,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.20875642885401557,0.125,0.3333333333333333,0.4687027303667951,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.3894120749974789,0.0,0.0,0.18322344130066578,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.0,0.3010681788210471,0.375,0.2222222222222222,0.8688661704486751,0.8289473684210525,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.31425557167348017,0.0,0.0,0.18322344130066578,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.38019253593564556,0.0,0.0,0.18322344130066578,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.2615060002637479,0.0,0.0,0.17838101240466644,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.0,0.6043782144270078,0.125,0.0,0.582057878380073,1.6052631578947367,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.34063035737834635,0.125,0.2222222222222222,0.36776772970516725,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.7758143215086378,0.0,0.0,0.16263918113927697,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.3894120749974789,0.0,0.0,0.18322344130066578,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.0,0.9340630357378347,0.0,0.0,0.4702935663016936,0.15789473684210525,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,0.0,0.3010681788210471,0.0,0.1111111111111111,0.5889541263717214,1.1973684210526314,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,0.5,0.44612950019781095,0.0,0.1111111111111111,0.3896788077113553,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.5,0.44612950019781095,0.125,0.0,0.41378947059385185,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.36700514308321247,0.0,0.0,0.17941986572699406,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.3894120749974789,0.0,0.0,0.17941986572699406,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.0,0.27469339311618096,0.0,0.1111111111111111,0.6280351420538471,1.2894736842105263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.43294210734537786,0.0,0.0,0.197456065910131,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.48569167875511016,0.25,0.0,0.18014579674700062,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.36700514308321247,0.0,0.0,0.17941986572699406,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1.0,0.27469339311618096,0.0,0.0,0.17320050928114236,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,1.0,0.3894120749974789,0.0,0.0,0.176387896287963,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.4988790716075432,0.0,0.0,0.17941986572699406,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1.0,0.3894120749974789,0.125,0.0,0.3992737581184521,1.9210526315789473,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0.0,0.6175656072794409,0.0,0.0,0.5501020437427332,0.6842105263157894,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.18897533957536597,0.125,0.0,0.29832960483910165,1.9210526315789473,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,1.0,0.287880785968614,0.0,0.0,0.18322344130066578,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.2615060002637479,0.125,0.0,0.22240902915730157,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.22194382170644866,0.0,0.0,0.2983853797216546,1.9210526315789473,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,1.0,0.27469339311618096,0.0,0.0,0.18014579674700062,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.9274693393116181,0.0,0.0,0.17575453833860336,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0.5,0.38019253593564556,0.125,0.0,0.3717885276684728,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.0,0.31425557167348017,0.0,0.1111111111111111,0.8569370434984311,0.47368421052631576,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,1.0,0.024132928919952525,0.5,0.2222222222222222,0.45011653430918863,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.5,0.27469339311618096,0.25,0.0,0.6181537276874405,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.3894120749974789,0.0,0.0,0.18322344130066578,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.5,0.4263484109191613,0.125,0.0,0.4423948857756368,1.9210526315789473,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,0.5,0.4263484109191613,0.0,0.0,0.2774768974449705,1.526315789473684,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.7098773572464724,0.0,0.1111111111111111,0.6280351420538471,1.2894736842105263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1.0,0.15600685744428328,0.125,0.0,0.24889877523954548,1.9210526315789473,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,1.0,0.3894120749974789,0.0,0.0,0.17575453833860336,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,1.0,0.31425557167348017,0.0,0.0,0.15967936313393025,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1.0,0.3894120749974789,0.125,0.1111111111111111,0.3841140700187342,1.8157894736842104,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,1.0,0.5911908215745747,0.0,0.0,0.15503460554451878,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.43294210734537786,0.0,0.0,0.17941986572699406,1.9210526315789473,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,1.0,0.2615060002637479,0.0,0.0,0.1571379140783534,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.6175656072794409,0.125,0.0,0.29895175428815823,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0.5,0.38019253593564556,0.125,0.0,0.41378947059385185,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.5,0.32744296452591326,0.0,0.0,0.2774768974449705,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.5,0.3010681788210471,0.0,0.0,0.3062182937580755,1.9210526315789473,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,0.0,0.24831860741131478,0.0,0.2222222222222222,0.41592069059919023,1.407894736842105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.48569167875511016,0.125,0.0,0.5542187158636468,0.7236842105263157,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.20875642885401557,0.0,0.0,0.20984004004207743,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.0,0.31425557167348017,0.0,0.0,0.6328422499044459,0.5921052631578947,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,1.0,0.3894120749974789,0.0,0.2222222222222222,0.3088151896762753,1.9210526315789473,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1.0,0.287880785968614,0.0,0.0,0.17575453833860336,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,1.0,0.31425557167348017,0.125,0.0,0.31645836989588183,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.24831860741131478,0.0,0.0,0.1485862418384339,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0.5,0.23513121455888172,0.0,0.0,0.2533662345624741,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.5,0.24831860741131478,0.125,0.1111111111111111,0.48184115453855925,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1.0,0.3538177502307794,0.0,0.0,0.17691329997660796,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.11644467888698405,0.25,0.2222222222222222,0.4687027303667951,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.5,0.4790979823288936,0.0,0.2222222222222222,0.41378947059385185,1.8552631578947367,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.5,0.5516286430172755,0.0,0.0,0.2774768974449705,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.5,0.6703151786891732,0.0,0.0,0.2701567732507816,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.0,0.287880785968614,0.125,0.0,0.598767071005616,0.8026315789473684,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.729658446525122,0.0,0.0,0.18322344130066578,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.5318475537386259,0.0,0.2222222222222222,0.29895175428815823,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.3894120749974789,0.0,0.0,0.1643272384850182,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.0,0.6703151786891732,0.0,0.1111111111111111,0.5827132209665941,1.9210526315789473,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,1.0,0.20875642885401557,0.0,0.0,0.17533031597288987,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1.0,0.3933799287880786,0.0,0.0,0.18322344130066578,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.3894120749974789,0.0,0.0,0.19764458417900724,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.3894120749974789,1.0,0.2222222222222222,0.6072904695810064,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.5780034287221416,0.0,0.1111111111111111,0.31953601444954693,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.5,0.5252538573124094,0.0,0.0,0.31521369818849665,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.34063035737834635,0.0,0.0,0.176387896287963,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.22194382170644866,0.0,0.0,0.19764458417900724,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.010945536067519452,0.5,0.1111111111111111,0.4969637309481857,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,1.0,0.11644467888698405,0.0,0.2222222222222222,0.3672892441326385,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.0,0.3894120749974789,0.0,0.1111111111111111,0.5611324565326629,1.6184210526315788,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.5911908215745747,0.125,0.4444444444444444,0.42765975184228133,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.3894120749974789,0.0,0.0,0.41322136965003076,1.9210526315789473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.36700514308321247,0.0,0.0,0.5664093889076323,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.0,0.8021891072135039,0.0,0.0,0.4636320910358692,0.23684210526315788,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.0,0.05050771462481868,0.5,0.1111111111111111,0.43611016733579877,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,1.0,0.010945536067519452,0.125,0.1111111111111111,0.24699327026614107,1.9210526315789473,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,0.27469339311618096,0.0,0.0,0.18014579674700062,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.0,0.7362521429513386,0.0,0.0,0.4464403731054378,0.18421052631578946,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,1.0,0.23513121455888172,0.125,0.1111111111111111,0.17838101240466644,1.9210526315789473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
